Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2023-04-27 23:16:58,2023-04-27 23:21:01,4m - 2.656s,FAILED
,,,,,,,
Test Cases/Login/TCLog 01 - username dan password null,,,,2023-04-27 23:16:59,2023-04-27 23:17:45,46.186s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-04-27 23:17:00,2023-04-27 23:17:35,35.392s,PASSED
"tap(findTestObject(""Object Repository/Login/TClog 01 - username dan password null/android.widget.ImageView""), 0)",,,,2023-04-27 23:17:35,2023-04-27 23:17:37,1.708s,PASSED
"tap(findTestObject(""Object Repository/Login/TClog 01 - username dan password null/android.widget.TextView - Log In""), 0)",,,,2023-04-27 23:17:37,2023-04-27 23:17:40,2.610s,PASSED
"takeScreenshot(""C:\Users\LENOVO\AppData\Local\Temp\screenshot2509259511993205114.png"")",,,,2023-04-27 23:17:40,2023-04-27 23:17:41,1.597s,PASSED
"tap(findTestObject(""Object Repository/Login/TClog 01 - username dan password null/android.view.ViewGroup""), 0)",,,,2023-04-27 23:17:41,2023-04-27 23:17:42,0.384s,PASSED
"takeScreenshot(""C:\Users\LENOVO\AppData\Local\Temp\screenshot8460418537700641893.png"")",,,,2023-04-27 23:17:42,2023-04-27 23:17:43,0.971s,PASSED
closeApplication(),,,,2023-04-27 23:17:43,2023-04-27 23:17:45,2.380s,PASSED
,,,,,,,
Test Cases/Login/TCLog 02 - username null password valid,,,,2023-04-27 23:17:45,2023-04-27 23:18:28,43.272s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-04-27 23:17:46,2023-04-27 23:18:15,29.322s,PASSED
"takeScreenshot(""C:\Users\LENOVO\AppData\Local\Temp\screenshot6780501950219514960.png"")",,,,2023-04-27 23:18:15,2023-04-27 23:18:17,1.667s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 02 - username null password valid/android.widget.ImageView""), 0)",,,,2023-04-27 23:18:17,2023-04-27 23:18:18,0.789s,PASSED
"takeScreenshot(""C:\Users\LENOVO\AppData\Local\Temp\screenshot7936325384978369315.png"")",,,,2023-04-27 23:18:18,2023-04-27 23:18:19,1.616s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 02 - username null password valid/android.widget.TextView - Log In""), 0)",,,,2023-04-27 23:18:19,2023-04-27 23:18:20,0.813s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 02 - username null password valid/android.widget.EditText""), 0)",,,,2023-04-27 23:18:20,2023-04-27 23:18:22,2.212s,PASSED
"setText(findTestObject(""Object Repository/Login/TCLog 02 - username null password valid/android.widget.EditText (1)""), ""10203040"", 0)",,,,2023-04-27 23:18:22,2023-04-27 23:18:25,2.234s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 02 - username null password valid/android.view.ViewGroup""), 0)",,,,2023-04-27 23:18:25,2023-04-27 23:18:25,0.803s,PASSED
"takeScreenshot(""C:\Users\LENOVO\AppData\Local\Temp\screenshot91496673715919669.png"")",,,,2023-04-27 23:18:25,2023-04-27 23:18:26,1.066s,PASSED
closeApplication(),,,,2023-04-27 23:18:26,2023-04-27 23:18:28,1.832s,PASSED
,,,,,,,
Test Cases/Login/TCLog 03 - username valid password null,,,,2023-04-27 23:18:28,2023-04-27 23:19:13,44.464s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-04-27 23:18:30,2023-04-27 23:18:59,29.617s,PASSED
"takeScreenshot(""C:\Users\LENOVO\AppData\Local\Temp\screenshot7602340115604597821.png"")",,,,2023-04-27 23:18:59,2023-04-27 23:19:01,1.786s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 03 - username valid password null/android.widget.ImageView""), 0)",,,,2023-04-27 23:19:01,2023-04-27 23:19:02,0.730s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 03 - username valid password null/android.widget.TextView - Log In""), 0)",,,,2023-04-27 23:19:02,2023-04-27 23:19:04,2.184s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 03 - username valid password null/android.widget.EditText""), 0)",,,,2023-04-27 23:19:04,2023-04-27 23:19:06,1.947s,PASSED
"setText(findTestObject(""Object Repository/Login/TCLog 03 - username valid password null/android.widget.EditText (1)""), ""bob@example.com"", 0)",,,,2023-04-27 23:19:06,2023-04-27 23:19:08,2.330s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 03 - username valid password null/android.view.ViewGroup""), 0)",,,,2023-04-27 23:19:08,2023-04-27 23:19:09,0.841s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 03 - username valid password null/android.view.ViewGroup (1)""), 0)",,,,2023-04-27 23:19:09,2023-04-27 23:19:10,1.053s,PASSED
"takeScreenshot(""C:\Users\LENOVO\AppData\Local\Temp\screenshot1104389025135011384.png"")",,,,2023-04-27 23:19:10,2023-04-27 23:19:11,0.992s,PASSED
closeApplication(),,,,2023-04-27 23:19:11,2023-04-27 23:19:13,1.710s,PASSED
,,,,,,,
Test Cases/Login/TCLog 04 - username dan password valid,,,,2023-04-27 23:19:13,2023-04-27 23:19:58,45.233s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-04-27 23:19:14,2023-04-27 23:19:44,29.546s,PASSED
"takeScreenshot(""C:\Users\LENOVO\AppData\Local\Temp\screenshot4567610957169262174.png"")",,,,2023-04-27 23:19:44,2023-04-27 23:19:45,1.618s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 04 - username dan password valid/android.widget.ImageView (2)""), 0)",,,,2023-04-27 23:19:45,2023-04-27 23:19:46,0.727s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 04 - username dan password valid/android.widget.TextView - Log In (2)""), 0)",,,,2023-04-27 23:19:46,2023-04-27 23:19:48,2.384s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 04 - username dan password valid/android.widget.EditText (8)""), 0)",,,,2023-04-27 23:19:48,2023-04-27 23:19:51,2.219s,PASSED
"setText(findTestObject(""Object Repository/Login/TCLog 04 - username dan password valid/android.widget.EditText (9)""), ""bob@example.com"", 0)",,,,2023-04-27 23:19:51,2023-04-27 23:19:53,2.359s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 04 - username dan password valid/android.widget.EditText (10)""), 0)",,,,2023-04-27 23:19:53,2023-04-27 23:19:54,0.808s,PASSED
"setText(findTestObject(""Object Repository/Login/TCLog 04 - username dan password valid/android.widget.EditText (11)""), ""10203040"", 0)",,,,2023-04-27 23:19:54,2023-04-27 23:19:55,1.566s,PASSED
"tap(findTestObject(""Object Repository/Login/TCLog 04 - username dan password valid/android.widget.TextView - Login""), 0)",,,,2023-04-27 23:19:55,2023-04-27 23:19:56,0.838s,PASSED
closeApplication(),,,,2023-04-27 23:19:56,2023-04-27 23:19:58,1.903s,PASSED
,,,,,,,
Test Cases/Login/TCLog 05 - verifikasi locked akun,,,,2023-04-27 23:19:58,2023-04-27 23:21:01,1m - 2.518s,FAILED
"startApplication(""C:\Users\LENOVO\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-04-27 23:19:59,2023-04-27 23:20:28,29.114s,PASSED
"tap(findTestObject(""Object Repository/TCLog 05 - verifikasi locked akun/android.widget.ImageView""), 0)",,,,2023-04-27 23:20:28,2023-04-27 23:21:01,32.159s,FAILED
